19 78
0 1 500
0 2 560
0 15 1190
1 0 500
1 2 560
1 16 600
2 0 560
2 1 560
2 3 1300
2 4 875
3 2 1300
3 4 1650
4 2 875
4 3 1650
4 5 280
4 6 500
4 9 690
4 15 1000
4 16 600
5 4 280
5 6 280
5 9 660
5 10 530
5 16 750
5 18 560
6 4 500
6 5 280
6 7 250
7 6 250
7 8 1100
7 9 530
8 7 1100
8 9 1500
9 4 690
9 5 660
9 7 530
9 8 1500
9 10 220
9 11 660
10 5 530
10 9 220
10 11 500
10 17 470
10 18 160
11 9 660
11 10 500
11 12 1070
11 14 690
11 15 500
11 17 280
12 11 1070
12 13 500
13 12 500
13 15 1600
14 11 690
14 15 500
15 0 1190
15 4 1000
15 11 500
15 13 1600
15 14 500
15 16 375
15 17 340
16 1 600
16 4 600
16 5 750
16 15 375
16 17 250
16 18 340
17 10 470
17 11 280
17 15 340
17 16 250
17 18 220
18 5 560
18 10 160
18 16 340
18 17 220
